image.name	Feeding	ZT	Mouse	Sample	Experience	NO	Date.of.Exp	condition	facs.2n	facs.4n	facs.6n	facs.8n	image.width	image.length	nb.cell.detected	percent.binucleated	cell.size.mono.mean	cell.size.binu.mean	cell.size.all.mean	nucleus.size.all.2c	nucleus.size.all.4c	nucleus.size.all.8c	nucleus.percent.all.2c	nucleus.percent.all.4c	nucleus.percent.all.8c	cell.percent.mono.2c	cell.percent.mono.4c	cell.percent.mono.8c	cell.percent.binu.4c	cell.percent.binu.8c
Image_40	ad-libitum	ZT60	R-F_AL_WT_ZT_12_	WT.AL.ZT60	2	4	02_2015	AL	67.27	28.79	0.46	0.75	19844	24196	5226	0.123995407577497	2017	2472	2070.5	315.289463705089	559.588132834689	489.668170665199	0.704359271112328	0.283074751620471	0.012565977267201	0.576943124647094	0.286801096461701	0.0122603713137076	0.107376730683898	0.0156868121804247
Image_41	ad-libitum	ZT64	R-F_AL_WT_ZT_16_	WT.AL.ZT64	2	5	02_2015	AL	62.34	32.61	0.42	0.92	23926	25610	4363	0.108182443272977	2623	3668.5	2722	343.869216823699	583.60116463218	849.227179762243	0.613747607725752	0.359054765398386	0.0271976268758621	0.534391439940663	0.329679040824687	0.0277470759616723	0.0728764417709028	0.0341095731816508
Image_42	ad-libitum	ZT68	R-F_AL_WT_ZT_20_	WT.AL.ZT68	2	6	02_2015	AL	64.4	30.42	0.82	0.92	22653	26519	5572	0.109834888729361	2519	3386.5	2591	314.213991587731	538.631116017029	791.6737250361	0.648686258236386	0.334603998608971	0.0167097431546434	0.560889828974763	0.312206744543846	0.0170685377520296	0.0795224061276407	0.0295742235103703
Image_43	ad-libitum	ZT72	R-F_AL_WT_ZT_24_	WT.AL.ZT72	2	7	02_2015	AL	62.15	34.28	0.55	1.24	18106	26893	5583	0.133440802435966	2352	2955	2428	303.331743749152	505.187893909088	543.206929567523	0.668002468629767	0.319012806305249	0.0129847250649837	0.534561893605216	0.31727990884916	0.0147173951096576	0.111289680233857	0.0221511111584052
Image_44	ad-libitum	ZT76	R-F_AL_WT_ZT_28_	WT.AL.ZT76	2	8	02_2015	AL	73.46	24.14	0.35	0.53	23370	23751	7009	0.141817663004708	2394	3020.5	2479	294.669876582652	500.959050254402	629.291544046055	0.761824823995666	0.233017722896426	0.00515745310790819	0.629747459705771	0.222877650883829	0.00555722640569114	0.120058790223966	0.0215930504562234
Image_45	ad-libitum	ZT80	R-F_AL_WT_ZT_32_	WT.AL.ZT80	2	9	02_2015	AL	60.8	34.49	0.66	1.16	13176	27125	2869	0.15336354130359	2363	3110	2450	302.903286268262	514.833786133628	783.211048862117	0.591769831818964	0.375438667165052	0.032791501015984	0.451352699549129	0.358994291974513	0.0362894671727686	0.115586524657111	0.0370114893646356
Image_46	ad-libitum	ZT84	R-F_AL_WT_ZT_36_	WT.AL.ZT84	2	10	02_2015	AL	63.52	32.73	0.58	0.77	25259	23084	8884	0.146105357946871	2130.5	2895.5	2217	329.092586137954	555.579563149351	766.663118915374	0.70144595980232	0.291546582390458	0.00700745780722271	0.573060896954928	0.272976332635816	0.00785741246238543	0.115435037942348	0.0305833837664932
Image_47	ad-libitum	ZT88	R-F_AL_WT_ZT_40_	WT.AL.ZT88	2	11	02_2015	AL	58.62	36.15	0.37	1.4	25381	27136	8871	0.135723142824935	2599	3426	2687	338.585721121535	578.162286639684	635.13646228347	0.668038750506879	0.314818068936594	0.017143180556527	0.551250224249578	0.294958958544427	0.0180676743810597	0.103728422502469	0.0312936040631588
Image_48	ad-libitum	ZT92	R-F_AL_WT_ZT_44_	WT.AL.ZT92	2	12	02_2015	AL	62.21	32.29	0.7	1.24	26229	22519	8300	0.138915662650602	2250	3014	2337	299.896928442923	508.267210596477	599.567532235686	0.67679730833805	0.310003317357055	0.0131993743048959	0.56120500798757	0.285889009381265	0.0139903199805621	0.104805023459202	0.0335893121151649
Image_13	Day (ZT2-ZT10)	ZT0	R-F_D_WT_ZT_00_	WT.DRF.ZT0	1	13	06_2014	DRF	60.19	36.09	0.53	1.58	19147	20933	5172	0.2153905645785	1903	2697.5	2024.5	290.072082476616	489.754186126646	729.254823917321	0.588251180747324	0.388610361560031	0.0231384576926446	0.446376314342216	0.314698857563468	0.0235342635158168	0.134289310170122	0.078807254587017
Image_14	Day (ZT2-ZT10)	ZT4	R-F_D_WT_ZT_04_	WT.DRF.ZT4	1	14	06_2014	DRF	54.88	40.66	0.34	2.72	34332	10931	3714	0.164243403338718	2458.5	3451	2576.5	315.258094872029	524.924088356297	767.487829641359	0.58500334946191	0.386827506978326	0.0281691435597637	0.454686412223563	0.352047777161698	0.0290224072760207	0.11319993915926	0.0491567980338905
Image_15	Day (ZT2-ZT10)	ZT8	R-F_D_WT_ZT_08_	WT.DRF.ZT8	1	15	06_2014	DRF	56.96	37.66	0.3	2.48	37000	24145	10075	0.169330024813896	2134	2894	2240	274.74811601019	453.314832779231	523.754974548504	0.610270795655598	0.364091937384313	0.0256372669600896	0.483347474918762	0.320312297334775	0.0270102029325673	0.115130244854197	0.0527156684206812
Image_16	Day (ZT2-ZT10)	ZT12	R-F_D_WT_ZT_12_	WT.DRF.ZT12	1	16	06_2014	DRF	56.45	38.85	0.64	2.89	17227	25004	3400	0.164411764705882	3151	4265	3275.5	292.379550116499	490.21110769385	718.976273347354	0.593190683344241	0.380608484401647	0.0262008322541117	0.465747207517298	0.343247516635885	0.026593511140935	0.112485501441329	0.0499687401741341
Image_17	Day (ZT2-ZT10)	ZT16	R-F_D_WT_ZT_16_	WT.DRF.ZT16	1	17	06_2014	DRF	58.75	37.28	0.23	1.22	29351	32682	11542	0.194247097556749	2181	2966	2311	295.426506404187	499.278274403119	695.203557254973	0.633045523088026	0.356112685062323	0.0108417918496515	0.484017932149519	0.309218416174799	0.0125165541189328	0.135997423209825	0.0580340621820106
Image_18	Day (ZT2-ZT10)	ZT20	R-F_D_WT_ZT_20_	WT.DRF.ZT20	1	18	06_2014	DRF	63.61	32.69	0.5	1.11	29463	26893	4880	0.163114754098361	2383	3367.5	2493	298.459948899981	495.289093792039	677.341263438045	0.622083000986385	0.364725268108026	0.0131917309055896	0.495263467334802	0.328524252352982	0.0130975262138556	0.114145224693124	0.0478465440879715
Image_19	Day (ZT2-ZT10)	ZT24	R-F_D_WT_ZT_24_	WT.DRF.ZT24	1	19	06_2014	DRF	57.86	37.38	0.5	1.8	21683	25105	3566	0.145541222658441	2171	3077	2281	308.599954953565	527.464063147665	780.420945174379	0.562980642299297	0.412600852995646	0.0244185047050565	0.459365774920894	0.369916950570599	0.0251760518500665	0.0927758791958386	0.0513671675199748
Image_20	Day (ZT2-ZT10)	ZT28	R-F_D_WT_ZT_28_	WT.DRF.ZT28	1	20	06_2014	DRF	53.26	40.36	0.43	4.29	15752	23590	2478	0.163438256658596	2646	3568	2769	321.314445127576	563.352283160245	833.213456171317	0.597408340463632	0.374759412603359	0.0278322469330094	0.474712404952459	0.33312383788102	0.0287255005079249	0.110167656594927	0.0514427998923154
Image_21	Day (ZT2-ZT10)	ZT32	R-F_D_WT_ZT_32_	WT.DRF.ZT32	1	21	06_2014	DRF	62.08	33.51	0.5	1.9	16459	24903	4406	0.199046754425783	2002	2607	2107.5	292.454623625393	496.002276844632	705.016934169896	0.625533877889022	0.352375389419215	0.0220907326917636	0.45294626847927	0.32300144940366	0.0250055276912865	0.148549048793468	0.0497565588094852
Image_22	Day (ZT2-ZT10)	ZT36	R-F_D_WT_ZT_36_	WT.DRF.ZT36	1	22	06_2014	DRF	53.58	41.85	0.37	2.99	14105	23883	1231	0.200649878147847	3077	4198	3275	290.146482941592	482.091044797276	743.750183067658	0.565543814596461	0.403708316376602	0.0307478690269368	0.429880683157802	0.337108797215306	0.0323606414790447	0.124569714462354	0.0738017718247673
Image_23	Day (ZT2-ZT10)	ZT40	R-F_D_WT_ZT_40_	WT.DRF.ZT40	1	23	06_2014	DRF	51.53	44.17	0.46	2.43	17631	19347	2262	0.175066312997347	2418.5	3522.5	2547	292.282912411875	491.932825278479	701.590507494265	0.518919414670286	0.455911449927982	0.0251691354017316	0.400178645617777	0.397733967530199	0.0270210738546765	0.104793038860789	0.0689961094949748
Image_24	Day (ZT2-ZT10)	ZT44	R-F_D_WT_ZT_44_	WT.DRF.ZT44	1	24	06_2014	DRF	62.39	33.48	0.51	0.88	17601	25509	2719	0.174696579624862	1859.5	2696	1949	275.934303675654	455.446525630145	653.36046194933	0.579734415288627	0.400394136753084	0.019871447958289	0.452914174024887	0.350982160152229	0.0214070861980217	0.114048930352741	0.0596797313967343
Image_49	Day (ZT2-ZT10)	ZT48	R-F_D_WT_ZT_00_	WT.DRF.ZT48	2	13	02_2015	DRF	67.93	28.68	0.51	0.83	11438	23984	3165	0.134913112164297	2089	2846	2161	309.551960193402	522.377408974476	783.076608682727	0.661430878932391	0.325983490867098	0.0125856302005112	0.547623820924759	0.304007540921667	0.0134555259892763	0.101521378182983	0.0329776986062463
Image_50	Day (ZT2-ZT10)	ZT52	R-F_D_WT_ZT_04_	WT.DRF.ZT52	2	14	02_2015	DRF	59.58	34.35	0.61	2.97	20642	17427	3011	0.137495848555297	2318	3028	2383	288.927127045591	492.397613906534	628.801966333458	0.602012938911997	0.367966578914332	0.0300204821736712	0.480741609466982	0.353694548962057	0.0280679930156634	0.102022804660994	0.0324329534800453
Image_51	Day (ZT2-ZT10)	ZT56	R-F_D_WT_ZT_08_	WT.DRF.ZT56	2	15	02_2015	DRF	63.73	33.13	0.48	0.96	19167	21640	7087	0.172710596867504	1816	2378.5	1913	291.050292361311	489.61040845249	661.869458454003	0.652736546688684	0.337641700700054	0.00962175261126181	0.485586644301854	0.331188202791287	0.0105145560393551	0.139942210481333	0.0323838987820164
Image_52	Day (ZT2-ZT10)	ZT60	R-F_D_WT_ZT_12_	WT.DRF.ZT60	2	16	02_2015	DRF	60.81	35.34	0.62	1.32	11761	23185	2585	0.0943907156673114	2353	3183.5	2415	301.732764470624	495.364988432285	722.984433572389	0.589888098655032	0.392683989902459	0.017427911442509	0.501326018828439	0.38525864209608	0.0190246234081692	0.0721210198111358	0.0222455353221833
Image_53	Day (ZT2-ZT10)	ZT64	R-F_D_WT_ZT_16_	WT.DRF.ZT64	2	17	02_2015	DRF	72.89	21.96	0.42	0.57	21420	18033	4231	0.13802883479083	1876	2418	1941	304.292505815789	519.577667187449	738.669107357437	0.737144197515101	0.253405183611725	0.00945061887317382	0.595091829552933	0.256124258887309	0.0107550767689288	0.121899761308999	0.0161290734741497
Image_54	Day (ZT2-ZT10)	ZT68	R-F_D_WT_ZT_20_	WT.DRF.ZT68	2	18	02_2015	DRF	69.28	26.69	0.69	1.03	13984	22882	4747	0.155887929218454	1757	2301.5	1830	298.461324970102	503.662306087159	750.222011350513	0.701080689517421	0.283816940526336	0.015102369956243	0.548876407633385	0.278300935517058	0.0169347276311041	0.130747149393976	0.0248798200725233
Image_55	Day (ZT2-ZT10)	ZT72	R-F_D_WT_ZT_24_	WT.DRF.ZT72	2	19	02_2015	DRF	64.33	32.63	0.51	1.09	13671	30257	3494	0.192902117916428	1635	2226.5	1734.5	296.209146698249	512.047891452499	739.609810069984	0.623140529759025	0.358887476130434	0.0179719941105409	0.46107447471675	0.325400196967268	0.0206232103995546	0.141135591496178	0.0513587167012045
Image_56	Day (ZT2-ZT10)	ZT76	R-F_D_WT_ZT_28_	WT.DRF.ZT76	2	20	02_2015	DRF	67.67	29.6	0.38	0.99	21188	17760	3723	0.131614289551437	1989	2596	2059	321.506725583319	545.108384325437	691.728916142236	0.679557907561645	0.309783144152979	0.0106589482853755	0.564083249630815	0.292240642627129	0.012061818190619	0.102457094571808	0.0291571949792778
Image_57	Day (ZT2-ZT10)	ZT80	R-F_D_WT_ZT_32_	WT.DRF.ZT80	2	21	02_2015	DRF	63.02	34.18	0.43	0.96	25371	22175	6515	0.161933998465081	2014	2742	2100	328.308696324336	567.271116529738	859.103719699223	0.61083200562061	0.369178357028057	0.0199896373513337	0.474755581342834	0.343535775057259	0.0197746451348265	0.117495446669183	0.04271255473556
Image_58	Day (ZT2-ZT10)	ZT84	R-F_D_WT_ZT_36_	WT.DRF.ZT84	2	22	02_2015	DRF	64.72	31.84	0.57	0.99	28503	39774	4858	0.146562371346233	2915.5	3885.5	3032.5	324.855938482352	527.210036744314	782.613789080243	0.623564794656132	0.354287964506884	0.022147240836984	0.488391599052649	0.340852994231566	0.0241930353695517	0.113282165298156	0.0326801272464385
Image_59	Day (ZT2-ZT10)	ZT88	R-F_D_WT_ZT_40_	WT.DRF.ZT88	2	23	02_2015	DRF	63.4	33.72	0.34	1.09	18207	29388	5134	0.171990650564862	2108	2822	2210.5	307.93200192042	513.829421371132	763.918753855452	0.608442524757038	0.370469367413758	0.0210881078292045	0.463108412141095	0.343886416118682	0.0210145211753615	0.124990269140116	0.0451501094054604
Image_60	Day (ZT2-ZT10)	ZT92	R-F_D_WT_ZT_44_	WT.DRF.ZT92	2	24	02_2015	DRF	68.97	28.51	0.48	0.63	28210	17468	5682	0.124956001407955	1872.5	2501.5	1938	285.881570307083	477.612736057597	663.693584375181	0.660549257600907	0.331064225224699	0.0083865171743943	0.547303922533272	0.318305613232582	0.00943446282619068	0.0978924645152187	0.0270635368927087
Image_25	Night (ZT14-ZT22)	ZT0	R-F_N_WT_ZT_00_	WT.NRF.ZT0	1	25	06_2014	NRF	58.4	37.16	0.32	2.43	27230	28540	5806	0.178780571822253	3383	4736	3583.5	285.824134716811	468.495858843001	700.850410067539	0.56988950019192	0.397299167958142	0.0328113318499377	0.458415262699196	0.333798489342483	0.0290056761360678	0.106679704106266	0.0672650255238606
Image_26	Night (ZT14-ZT22)	ZT4	R-F_N_WT_ZT_04_	WT.NRF.ZT4	1	26	06_2014	NRF	64.55	32.08	0.41	1.28	25280	23963	4025	0.0926708074534161	2961	4102	3026	285.080120875585	476.596700710142	627.469708303537	0.683097209898425	0.304968823688738	0.0119339664128364	0.608450407845417	0.286605324132154	0.0122734605690122	0.0689749860317354	0.0233126033479689
