image.name	Feeding	ZT	Mouse	Sample	Experience	NO	Date.of.Exp	condition	facs.2n	facs.4n	facs.6n	facs.8n	image.width	image.length	nb.cell.detected	percent.binucleated	cell.size.mono.mean	cell.size.binu.mean	cell.size.all.mean	nucleus.size.all.2c	nucleus.size.all.4c	nucleus.size.all.8c	nucleus.percent.all.2c	nucleus.percent.all.4c	nucleus.percent.all.8c	cell.percent.mono.2c	cell.percent.mono.4c	cell.percent.mono.8c	cell.percent.binu.4c	cell.percent.binu.8c
Image_54	Day (ZT2-ZT10)	ZT68	R-F_D_Ob_ZT_20_	Ob.DRF.ZT68	2	18	02_2015	DRF	60.24	37.18	0.69	1.02	34403	17730	2435	0.0907597535934292	3128	4468	3209	279.605496281827	446.070983548318	644.543131478244	0.555084890038007	0.427308111162536	0.0176069987994574	0.472191370377354	0.419124007901899	0.0179248681273169	0.0666364437519689	0.0234832410691108
Image_55	Day (ZT2-ZT10)	ZT72	R-F_D_Ob_ZT_24_	Ob.DRF.ZT72	2	19	02_2015	DRF	60.47	36.08	0.68	1.62	13943	30762	2218	0.128944995491434	4319	6705	4507.5	296.89082288173	528.474590814986	821.61440459957	0.545428498802851	0.418765016994832	0.0358064842023169	0.442353995284583	0.394173989740476	0.0345270194835068	0.0867023894186506	0.0392943402413622
Image_56	Day (ZT2-ZT10)	ZT76	R-F_D_Ob_ZT_28_	Ob.DRF.ZT76	2	20	02_2015	DRF	73.06	24.7	0.56	0.45	12802	28348	2249	0.141840818141396	3796	7494	4129	335.590936334289	532.327641362141	822.076562903849	0.693460429383387	0.285215477337986	0.0213240932786271	0.568463699362767	0.268431707643453	0.0212637748523844	0.111678862336522	0.0286194831733707
Image_57	Day (ZT2-ZT10)	ZT80	R-F_D_Ob_ZT_32_	Ob.DRF.ZT80	2	21	02_2015	DRF	56.46	40.71	0.55	1.36	22784	26923	3299	0.140648681418612	4419	7603.5	4693	318.051771145884	548.620922840767	839.23773121124	0.54608784687582	0.43611538208013	0.0177967710440497	0.428234965752429	0.414742013502297	0.0163743393266622	0.097329708362602	0.0413562110068887
Image_58	Day (ZT2-ZT10)	ZT84	R-F_D_Ob_ZT_36_	Ob.DRF.ZT84	2	22	02_2015	DRF	57.15	40.16	0.56	1.2	25835	19953	3316	0.10102533172497	3065	4289	3147.5	313.900403202096	522.972960487087	783.577163344693	0.569047197151527	0.417939398860887	0.0130134039875863	0.463912391854266	0.421975466304	0.0130868101167642	0.0813114935783289	0.0190931994838715
Image_59	Day (ZT2-ZT10)	ZT88	R-F_D_Ob_ZT_40_	Ob.DRF.ZT88	2	23	02_2015	DRF	62.51	34.27	0.53	1.17	21986	21812	2915	0.0771869639794168	3929.5	5544	4020	309.480108405514	483.423491438438	739.111098938188	0.599389226896523	0.373082954161868	0.0275278189416085	0.521115710726766	0.373463862815903	0.0282334624779138	0.0622692754179347	0.0142081159450958
Image_60	Day (ZT2-ZT10)	ZT92	R-F_D_Ob_ZT_44_	Ob.DRF.ZT92	2	24	02_2015	DRF	64.66	32.97	0.42	0.81	10720	27024	1564	0.164961636828645	4122	7843	4557	309.81214239811	504.681460983189	766.780348567406	0.604105223256468	0.370649259209467	0.0252455175340655	0.473695538925563	0.338075262001095	0.0232675622446974	0.115031935388013	0.0468584528484449
Image_25	Night (ZT14-ZT22)	ZT0	R-F_N_Ob_ZT_00_	Ob.NRF.ZT0	1	25	06_2014	NRF	62.42	34.97	0.39	0.9	13671	28317	1451	0.0558235699517574	2739	3352	2759	259.144689094539	403.409997450924	630.236429773044	0.577416313520467	0.403493837548301	0.0190898489312324	0.526417564319044	0.39921077190195	0.0185480938272488	0.041616094585259	0.013403766055916
Image_26	Night (ZT14-ZT22)	ZT4	R-F_N_Ob_ZT_04_	Ob.NRF.ZT4	1	26	06_2014	NRF	60.99	35.18	0.58	1.19	21966	26923	2776	0.106988472622478	3062	3500	3120.5	264.390654874796	427.091472915248	585.257016552101	0.622327160596394	0.36494307623549	0.0127297631681157	0.514474272773786	0.364445553517997	0.014091701085738	0.0872173601031498	0.0197711125190384
Image_27	Night (ZT14-ZT22)	ZT8	R-F_N_Ob_ZT_08_	Ob.NRF.ZT8	1	27	06_2014	NRF	56.73	40.33	0.31	1.25	19884	27428	2265	0.0768211920529801	3241	3541	3257	267.771228194545	445.405712289503	697.16967440147	0.949616955504434	0.0396094257330687	0.0107736187624969	0.89792638558988	0.0155150769121726	0.00973734544496772	0.0623206382150637	0.0135685960611222
Image_28	Night (ZT14-ZT22)	ZT12	R-F_N_Ob_ZT_12_	Ob.NRF.ZT12	1	28	06_2014	NRF	50.5	44.3	0.72	3.04	13681	22074	630	0.0428571428571429	3072	3100	3073.5	255.063040770921	407.015782364109	664.494654455487	0.493331287816824	0.470990820080979	0.0356778921021967	0.452897052894149	0.467038859627846	0.0372069446208623	0.0307885022002696	0.0120686406568733
Image_29	Night (ZT14-ZT22)	ZT16	R-F_N_Ob_ZT_16_	Ob.NRF.ZT16	1	29	06_2014	NRF	55.17	40.49	0.4	2.08	25522	41572	5552	0.0801512968299712	2869	3682	2925.5	292.00212224631	491.992747238878	777.851793072502	0.518102729348433	0.448041887169866	0.0338553834817012	0.447840122577691	0.436371070229675	0.0356375103626626	0.0558946062095829	0.0237909776155019
Image_30	Night (ZT14-ZT22)	ZT20	R-F_N_Ob_ZT_20_	Ob.NRF.ZT20	1	30	06_2014	NRF	62	34.98	0.43	0.77	20703	33389	4672	0.0811215753424658	3215	3660	3258.5	290.277235420228	490.853362562442	733.924976428464	0.607518095500009	0.382373634891369	0.0101082696086216	0.520762994196501	0.387187162097774	0.0109282683632594	0.0680189631297618	0.0131026122127039
Image_31	Night (ZT14-ZT22)	ZT24	R-F_N_Ob_ZT_24_	Ob.NRF.ZT24	1	31	06_2014	NRF	55.82	39.26	0.46	2.34	18743	33187	3424	0.0724299065420561	3026.5	3807	3081	289.819881800371	496.414469650067	695.914111340413	0.574061333622944	0.404348173371403	0.021590493005653	0.492037060601239	0.413320537636676	0.0222124952200297	0.0618017408827116	0.0101572680712346
Image_32	Night (ZT14-ZT22)	ZT28	R-F_N_Ob_ZT_28_	Ob.NRF.ZT28	1	32	06_2014	NRF	58.19	39.22	0.39	1.1	13913	25307	1219	0.0803937653814602	3289	4035.5	3368	260.89483954725	405.817893898004	705.787438645263	0.595811438732672	0.402888226057452	0.00130033520987526	0.529794243968342	0.388407116596543	0.00140487405365522	0.0569583598906976	0.0234354054907626
Image_33	Night (ZT14-ZT22)	ZT32	R-F_N_Ob_ZT_32_	Ob.NRF.ZT32	1	33	06_2014	NRF	56.62	40.84	0.4	1.43	23128	24499	1706	0.0732708089097304	3346	4125	3397	264.123825734358	419.283478807084	693.528636532311	0.566353551611761	0.413964727530152	0.019681720858087	0.500255737475639	0.40709188423241	0.0193815693822203	0.0537974984958071	0.0186021868719862
Image_34	Night (ZT14-ZT22)	ZT36	R-F_N_Ob_ZT_36_	Ob.NRF.ZT36	1	34	06_2014	NRF	52.61	44.18	0.56	1.62	17318	33894	2013	0.085444610034774	3320	3664.5	3360	290.599986802176	448.815757537901	572.526008131964	0.560328528531218	0.410828974506165	0.0288424969626173	0.46609116164764	0.420626801476347	0.027837426841239	0.071057209747643	0.0126526472737418
Image_35	Night (ZT14-ZT22)	ZT40	R-F_N_Ob_ZT_40_	Ob.NRF.ZT40	1	35	06_2014	NRF	49.09	44.37	0.52	3.7	17813	29550	2424	0.070957095709571	2853.5	3730	2889.5	267.689912720602	455.851797419303	743.732405071393	0.47964513399072	0.473074611713747	0.0472802542955324	0.423832424402512	0.457302019028009	0.0479084608599075	0.0449234676337088	0.0246702965934392
Image_36	Night (ZT14-ZT22)	ZT44	R-F_N_Ob_ZT_44_	Ob.NRF.ZT44	1	36	06_2014	NRF	49.81	45.31	0.48	2.47	13964	30156	1437	0.081419624217119	3752.5	4760	3801	281.119208578591	463.742682419497	738.553715436152	0.511322651286877	0.464419496874482	0.0242578518386409	0.437941402466645	0.455828112436329	0.024810860879907	0.0575064734708555	0.0232021226763882
Image_61	Night (ZT14-ZT22)	ZT48	R-F_N_Ob_ZT_00_	Ob.NRF.ZT48	2	25	02_2015	NRF	65.81	31.43	0.53	1.12	16015	38945	1598	0.0594493116395494	2827	3435	2884	257.291437914665	417.414744950948	649.997452436249	0.611174835729488	0.357763504822161	0.0310616594483515	0.545364856052648	0.362277579001743	0.0329082533060593	0.0510719514761863	0.00837735995592376
